datetime;HAR;RFSV;actuals
2018-11-22 04:25:00;-18.226608272553555;-15.673926126921204;-15.583048781769206
2018-11-22 04:30:00;-17.895477199098075;-16.546994941555415;-15.436237174934659
2018-11-22 04:35:00;-18.008435698028613;-16.532200579793475;-15.819882660212517
2018-11-22 04:40:00;-17.952210858338724;-16.34348281872465;-15.09490909740001
2018-11-22 04:45:00;-18.086557341151313;-16.306161734651184;-16.583598144697834
2018-11-22 04:50:00;-17.8464540207982;-15.4011082244031;-15.756784233166385
2018-11-22 04:55:00;-18.395287826197652;-15.786923503423882;-15.03397290583797
2018-11-22 05:00:00;-18.03432235112131;-15.847503269548792;-15.586289265332006
2018-11-22 05:05:00;-17.762442093541374;-15.675431477230292;-16.58546428707454
2018-11-22 05:10:00;-17.962693916508435;-15.49640713165045;-14.389023443681479
2018-11-22 05:15:00;-18.329114352935896;-15.72488977377996;-16.134437352657965
2018-11-22 05:20:00;-17.499507555254347;-14.864883595713165;-14.948304426383272
2018-11-22 05:25:00;-18.141143828082924;-15.98091802069676;-14.680997848727783
2018-11-22 05:30:00;-17.686396622308273;-14.980143361563574;-14.471801840246327
2018-11-22 05:35:00;-17.524707497521824;-15.88472130784467;-15.893060368956158
2018-11-22 05:40:00;-17.450671306667225;-15.393628864675192;-16.58608594633291
2018-11-22 05:45:00;-18.03474972411822;-15.71177624027538;-15.0067860764361
2018-11-22 05:50:00;-18.298710007269726;-15.97032780502346;-15.237068622173593
2018-11-22 05:55:00;-17.66405242110681;-16.13773324121553;-13.857781119055794
2018-11-22 06:00:00;-17.72074682145955;-15.32372551767293;-17.14341008133493
2018-11-22 06:05:00;-17.209685427524953;-15.50705492691328;-14.746594799085221
2018-11-22 06:10:00;-18.47756980214944;-16.398068786878625;-15.759339805351338
2018-11-22 06:15:00;-17.526100510502594;-16.238086787520796;-16.33507178214289
2018-11-22 06:20:00;-17.944334999469554;-16.077099181178163;-15.353220184427393
2018-11-22 06:25:00;-18.15007327681348;-16.243476425156615;-16.227602222029816
2018-11-22 06:30:00;-17.77386950667141;-16.035392405492274;-14.724279874942784
2018-11-22 06:35:00;-18.097673990988476;-15.656431731694154;-16.585193910837067
2018-11-22 06:40:00;-17.52153011489542;-15.303231841496231;-15.96602574634414
2018-11-22 06:45:00;-18.242591529098597;-15.285716853692666;-14.660159703963837
2018-11-22 06:50:00;-17.994394210013063;-15.439637512834084;-16.58686949573345
2018-11-22 06:55:00;-17.512840212800818;-15.6865623397599;-16.134815632514965
2018-11-22 07:00:00;-18.262583357956707;-15.164240965520342;-15.397885487019117
2018-11-22 07:05:00;-18.108943945206754;-15.186073328639221;-15.537633480048765
2018-11-22 07:10:00;-17.80057291995228;-15.499471229522975;-15.824578134793189
2018-11-22 07:15:00;-17.872880224448515;-14.790467640978049;-17.433600009600518
2018-11-22 07:20:00;-18.032538851924635;-15.733656564179551;-16.13454054265621
2018-11-22 07:25:00;-18.679582050851984;-15.679599543024606;-17.146579853340935
2018-11-22 07:30:00;-18.208820976463464;-15.41060982846224;-15.236347361096895
2018-11-22 07:35:00;-18.545234248026752;-15.403440804270684;-15.274406637334296
2018-11-22 07:40:00;-17.789470902534838;-15.679214967738396;-15.166096651970909
2018-11-22 07:45:00;-17.79617826754258;-15.726075412384956;-15.537746919559133
2018-11-22 07:50:00;-17.75736352294836;-15.006547142936874;-16.23034579273249
2018-11-22 07:55:00;-17.864415044499417;-15.09396638876807;-17.839443386189295
2018-11-22 08:00:00;-18.175753991520303;-15.591683626202398;-15.200041536764587
2018-11-22 08:05:00;-18.73665541902937;-15.264325502287248;-16.740169057618353
2018-11-22 08:10:00;-17.744958635427217;-15.023009888086749;-16.22852978719803
2018-11-22 08:15:00;-18.298243311171056;-14.501258058334018;-16.585193933866236
2018-11-22 08:20:00;-18.109397660772395;-14.630660237242834;-15.440499074781881
2018-11-22 08:25:00;-18.20306659734154;-15.166328079251702;-16.04615462194997
2018-11-22 08:30:00;-17.78017071670825;-14.583144078087967;-16.584896512328534
2018-11-22 08:35:00;-17.9785273582143;-15.789809736127895;-15.82374588686109
2018-11-22 08:40:00;-18.137567677459423;-14.494105243780133;-17.838781362691382
2018-11-22 08:45:00;-17.890727236764157;-14.961521187251723;-16.046927295032553
2018-11-22 08:50:00;-18.550053578552955;-14.656634740897589;-16.92243386978973
2018-11-22 08:55:00;-17.96093508638861;-15.248557506923275;-16.739601458074773
2018-11-22 09:00:00;-18.238393901260487;-14.857635194295533;-16.133302199089947
2018-11-22 09:05:00;-18.17229963287385;-15.410905008798782;-15.234742433464879
2018-11-22 09:10:00;-17.96732745739535;-15.156702384442188;-15.966287789110233
2018-11-22 09:15:00;-17.692922393710198;-15.244637929717666;-16.452013992629603
2018-11-22 09:20:00;-17.915751738162605;-15.606899683148695;-16.04691152278407
2018-11-22 09:25:00;-18.05278858735482;-15.520662271619697;-16.739759146488215
2018-11-22 09:30:00;-17.939813354200048;-15.501586291492897;-16.585545383496985
2018-11-22 09:35:00;-18.13290351983766;-15.375593993625394;-15.892425238457719
2018-11-22 09:40:00;-18.081983265693673;-15.384539637863735;-16.585815693590785
2018-11-22 09:45:00;-17.90351800337634;-15.680156910794643;-17.838402968962118
2018-11-22 09:50:00;-18.104702070662704;-16.181673014071364;-17.14544496736908
2018-11-22 09:55:00;-18.44736425288078;-14.96675108494196;-17.14563418436823
2018-11-22 10:00:00;-18.265512735812415;-14.97174922660776;-16.58584272171371
2018-11-22 10:05:00;-18.27272869067462;-15.756211172226365;-16.229381261710685
2018-11-22 10:10:00;-18.115255495025046;-16.063433160688632;-17.83849758082193
2018-11-22 10:15:00;-18.024989222842457;-16.36618292013132;-15.586618120890922
2018-11-22 10:20:00;-18.442825778890544;-16.20052099737249;-15.585990407948415
2018-11-22 10:25:00;-17.797872080385325;-15.385783135167255;-14.237394342118487
2018-11-22 10:30:00;-17.76228004360177;-15.973296762652451;-14.72049084241897
2018-11-22 10:35:00;-17.367018923767993;-15.902970232222206;-15.231346048200935
2018-11-22 10:40:00;-17.46968802233402;-15.396690512710027;-15.582669649032566
2018-11-22 10:45:00;-17.602318381241382;-14.977930286141115;-16.224703179120915
2018-11-22 10:50:00;-17.701493799968482;-15.185701891889055;-16.735623618977467
2018-11-22 10:55:00;-17.882838379440948;-15.660111078686837;-15.194575750064118
2018-11-22 11:00:00;-17.994784405390526;-15.355483035277818;-13.1176462340624
2018-11-22 11:05:00;-17.466009384223405;-15.197318907209297;-15.691496677413184
2018-11-22 11:10:00;-16.87807891958402;-16.391662555200863;-16.73325208466703
2018-11-22 11:15:00;-17.6018569346055;-15.41029727106532;-15.191348714052285
2018-11-22 11:20:00;-17.87448868316698;-15.458495496633642;-14.630368834164587
2018-11-22 11:25:00;-17.4020845277713;-16.06534431690626;-14.785121358930231
2018-11-22 11:30:00;-17.238101683923666;-15.825787917032027;-15.190439327476293
2018-11-22 11:35:00;-17.2694500102724;-15.63249752525687;-15.026397328438298
2018-11-22 11:40:00;-17.37102443228911;-15.530358791293468;-14.717644349767069
2018-11-22 11:45:00;-17.29506968312159;-15.029660457596107;-15.580692392364439
2018-11-22 11:50:00;-17.192779137293762;-15.152540965431085;-15.6358944116144
2018-11-22 11:55:00;-17.448301082691266;-14.864185962480231;-17.140093030083126
2018-11-22 12:00:00;-17.47849959966549;-14.708523870704168;-16.916977934519807
2018-11-22 12:05:00;-17.95041544123807;-15.72953689728455;-15.636031387963815
2018-11-22 12:10:00;-17.85271280283711;-15.043349983385703;-15.09103044430141
2018-11-22 12:15:00;-17.430208145644762;-16.16663602661302;-16.127168056399157
2018-11-22 12:20:00;-17.27963121598065;-15.896747002100211;-14.970466040953342
2018-11-22 12:25:00;-17.535217926314424;-15.850646368661275;-16.733536827215335
2018-11-22 12:30:00;-17.234185083774825;-15.766008153047945;-14.969310853418918
2018-11-22 12:35:00;-17.721371440740192;-14.740686810075855;-17.42551318574346
2018-11-22 12:40:00;-17.264875468997495;-15.185003278067883;-15.959521815735823
2018-11-22 12:45:00;-17.97068958518809;-15.70897161991522;-16.73344191003194
2018-11-22 12:50:00;-17.568994816907313;-15.622047290066517;-16.3275549151114
2018-11-22 12:55:00;-17.816353259013447;-15.972965345828866;-17.137720311852956
2018-11-22 18:00:00;-17.744983385336347;-16.597848375472026;-12.620682992611913
2018-11-22 18:05:00;-17.81092261176115;-16.53790803907299;-15.638527594220035
2018-11-22 18:10:00;-16.559012184966257;-15.566166640044331;-16.7367293688676
2018-11-22 18:15:00;-17.43633843633358;-15.16928909265403;-18.528615174988595
2018-11-22 18:20:00;-17.858509323101764;-16.34399803068635;-15.002689290084124
2018-11-22 18:25:00;-18.326933369972714;-16.11252710907648;-15.585103480705506
2018-11-22 18:30:00;-17.341204730950146;-15.308983909675748;-17.430508130210043
2018-11-22 18:35:00;-17.575664609430184;-15.58188520471367;-16.582732078730416
2018-11-22 18:40:00;-18.093174582288206;-15.641809007541285;-16.331537930846096
2018-11-22 18:45:00;-17.88084212199663;-15.948181351795755;-16.332358868511882
2018-11-22 18:50:00;-17.839980210898254;-15.731603288065227;-15.639443151279977
2018-11-22 18:55:00;-17.842608500202537;-15.912067164712663;-16.920768362943836
2018-11-22 19:00:00;-17.704383530162566;-15.391215313688223;-16.333663159859416
2018-11-22 19:05:00;-18.045508592021335;-15.278099793534544;-15.758973233697429
2018-11-22 19:10:00;-17.908566682292353;-15.59668050195048;-16.739506828316795
2018-11-22 19:15:00;-17.819127837088807;-15.891055066850283;-16.585356150834702
2018-11-22 19:20:00;-18.067543553170644;-15.88433273024436;-17.837835244112547
2018-11-22 19:25:00;-18.103592507479668;-15.264468562938388;-16.227886227778484
2018-11-22 19:30:00;-18.314216979496784;-15.689194297561041;-17.431644475945898
2018-11-22 19:35:00;-18.114058195509067;-15.117084387456824;-16.58416628041024
2018-11-22 19:40:00;-18.302394684040785;-14.937410729470445;-17.83736202367031
2018-11-22 19:45:00;-18.223135291115334;-14.95938918906159;-16.085046571976886
2018-11-22 19:50:00;-18.481915383493167;-15.203526187762403;-16.585329120522058
2018-11-22 19:55:00;-18.061493150340645;-15.463745060889838;-16.22928666775567
2018-11-22 20:00:00;-18.16139520161277;-14.742606068472394;-15.814442493703064
2018-11-22 20:05:00;-18.046424641838023;-15.2912265521393;-16.40944466340127
2018-11-22 20:10:00;-17.944154121143804;-15.126054075552519;-16.92243386978973
2018-11-22 20:15:00;-18.081993595269516;-15.021784554508923;-15.699143572014394
2018-11-22 20:20:00;-18.164163772397835;-14.527661569198198;-17.43322166957455
2018-11-22 20:25:00;-17.882105801696405;-15.28998957854608;-17.433032472713766
2018-11-22 20:30:00;-18.292790909909506;-14.764686895308834;-16.740105991005144
2018-11-22 20:35:00;-18.28498536479878;-14.783486773277698;-16.740169057618353
2018-11-22 20:40:00;-18.089161933633356;-15.309464381412521;-16.133766677053142
2018-11-22 20:45:00;-18.065253709894698;-15.195469262911836;-17.432780176415243
2018-11-22 20:50:00;-17.923059950800727;-15.064365916836582;-17.838213745250844
2018-11-22 20:55:00;-18.278922423576425;-14.971667569796905;-17.4328432579447
2018-11-22 21:00:00;-18.392063681670827;-14.923774630988275;-17.14544496736908
2018-11-22 21:05:00;-18.25443497683488;-15.128431914983123;-15.758854902848487
2018-11-22 21:10:00;-18.185786729514454;-14.79677012190755;-16.228340536625396
2018-11-22 21:15:00;-17.79223154833243;-15.550920892017249;-16.739222939025286
2018-11-22 21:20:00;-17.913254901145244;-15.36134489467231;-16.22851083116115
2018-11-22 21:25:00;-18.02626484048664;-14.983191702018921;-16.334630389081628
2018-11-22 21:30:00;-17.84800551363775;-15.836819079755047;-16.92235819462527
2018-11-22 21:35:00;-17.87758330744861;-14.788954049153771;-18.099894602607545
2018-11-22 21:40:00;-18.074920908898314;-15.355004564410367;-16.922660874165395
2018-11-22 21:45:00;-18.369335618394295;-14.928339751360854;-17.838781362691382
2018-11-22 21:50:00;-18.09540773976709;-14.9697377777802;-18.53221229826863
2018-11-22 21:55:00;-18.42004007785419;-14.657529537852495;-16.740547397653913
2018-11-22 22:00:00;-18.60660894244858;-15.347272987320654;-16.922585214035397
2018-11-22 22:05:00;-18.09951406103402;-15.146493266225352;-15.892046695106187
2018-11-22 22:10:00;-18.149440382917525;-15.07360720473908;-16.228321616403935
2018-11-22 22:15:00;-17.80109104567338;-15.56300402264797;-15.82254729824869
2018-11-22 22:20:00;-17.934665269838995;-14.941861573556748;-15.198196479274918
2018-11-22 22:25:00;-17.732826980284464;-14.885790554940089;-17.14407283462468
2018-11-22 22:30:00;-17.606599363680168;-15.1375297665742;-16.58462608235778
2018-11-22 22:35:00;-18.179888842988127;-15.269343570277815;-17.83764596667093
2018-11-22 22:40:00;-18.10357367097844;-15.345982111759458;-15.586428878800865
2018-11-22 22:45:00;-18.401264738255;-14.769369197095255;-16.921563441057693
2018-11-22 22:50:00;-17.73643447459255;-14.957179462298866;-16.585383189552854
2018-11-22 22:55:00;-18.140729216224138;-15.023570601603346;-16.133198974171606
2018-11-22 23:00:00;-17.996706472083694;-15.434852562890022;-16.73941221646566
2018-11-22 23:05:00;-17.887207270672597;-15.577248118757137;-16.73919140373127
2018-11-22 23:10:00;-18.068436065362725;-15.61237363248989;-15.891316635021568
2018-11-22 23:15:00;-18.02882839148804;-15.139815539549922;-16.920806229183775
2018-11-22 23:20:00;-17.830429986765687;-15.05617750133469;-17.837172701424944
2018-11-22 23:25:00;-18.222397744025606;-15.563476190629306;-17.83736202367031
2018-11-22 23:30:00;-18.546508493101662;-15.439959608143091;-18.53031988198489
2018-11-22 23:35:00;-18.643905675775052;-15.005150553928628;-18.5301305418224
2018-11-22 23:40:00;-18.9891230569859;-14.960105759866666;-15.821449046923286
2018-11-22 23:45:00;-18.891271572794345;-16.10717233000867;-17.836036391555393
2018-11-22 23:50:00;-18.12605244816919;-15.258952525661515;-17.43069756601601
2018-11-22 23:55:00;-18.793462878403098;-15.08271726801632;-17.83632052283317
2018-11-23 00:00:00;-18.734104531198078;-14.766978866044706;-16.13146049697861
2018-11-23 00:05:00;-18.82499921375704;-15.403923170465545;-16.73767665853866
2018-11-23 00:10:00;-18.263802642537232;-14.757135586516704;-16.737360942179322
2018-11-23 00:15:00;-18.496052024169416;-14.890495445207225;-16.583625189633008
2018-11-23 00:20:00;-18.490889183516828;-15.13030365434934;-17.430950125138082
2018-11-23 00:25:00;-18.479970572353952;-16.161175380080522;-14.50290462418467
2018-11-23 00:30:00;-18.66774326913083;-16.056883612762316;-17.42943430965602
2018-11-23 00:35:00;-17.811750433825473;-15.42121329101392;-16.448060025344013
2018-11-23 00:40:00;-18.721142562426188;-15.274675334603858;-15.754687654755227
2018-11-23 00:45:00;-18.38933617122367;-15.375867215869981;-15.63679002644297
2018-11-23 00:50:00;-18.140198897109677;-16.175154265328555;-15.636221114299323
2018-11-23 00:55:00;-18.084677944920678;-15.10239081010393;-15.267564717823564
2018-11-23 01:00:00;-18.05358281350282;-14.863905355102121;-15.636052492221564
2018-11-23 01:05:00;-17.930956512746256;-15.039477369492547;-15.818466810027019
2018-11-23 01:10:00;-18.05383256986817;-14.354155873430427;-15.754249147242035
2018-11-23 01:15:00;-18.0964029543241;-14.619794988229405;-15.754498026235304
2018-11-23 01:20:00;-18.077237917058078;-14.25067051697436;-15.06237582843807
